r_tipo,nombre,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,indice_glicemico,carga_glicemica,azucar,sodio
3,Arroz salvaje crudo,20,g,20,20,71,2.9,0.2,15,1.2,19,4.2,0.4,,,0.5,1.4
3,"Avena instantánea PLUS varios
sabores",0.3,sobre,14,14,53,1.3,1,9.8,1.2,0,0,0,,,3,38.7
3,"Avena instantánea varios
sabores",0.3,sobre,14,14,51,1,1,9.4,0.8,0,0,0,,,4.3,88.9
3,"Avena integral con pasitas.
instantánea preparada",0.5,sobre,22,22,77,1.7,0.9,16.4,1.3,44.1,55,2,,,7.8,120.8
3,Avena Quaker Old fashion,0.5,pieza,20,20,68,2.8,1.1,11.8,1.9,0,0,0,,,0.3,0
3,Barra Stila varios sabores,0.75,pieza,19,19,68,1.6,1.3,12.4,1.5,0,0,0,,,5.3,71.3
3,Barrita de avena,0.5,pieza,14,14,56,0.8,1.1,11.1,0.5,2,4.5,0.3,,,4.8,52.5
3,"Barrita de granola sabor
manzana",0.5,pieza,14,14,55,0.8,1,11.3,0.7,2,4.5,0.3,,,5.1,39.5
3,Cereal de trigo con canela,0.3,taza,13,13,58,0.4,1.6,10.7,0.4,44.4,17.8,2,,,4.4,93.3
3,Cereal Multibran Flakes,0.75,taza,19,19,65,2.4,1.3,11.1,2.6,0,0,0,,,0.4,90.6
3,Cereal Multibran pasas,0.75,taza,19,19,66,2,1,12.1,2.3,0,0,0,,,3.9,71.9
3,Cereal multigrano,0.25,taza,20,20,67,2.3,0.5,14.7,2.4,5.5,7,0.6,,,0.1,0.5
3,Cereal sin azúcar,0.5,taza,14,14,51,1.2,0.1,12,0.6,50,0.5,4.1,,,1,152
3,Couscous,0.3,taza,52,52,58,2,0.1,12,0.7,,4.3,0.2,,,0.1,2.6
3,Cuadritos de avena,0.3,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,,,3.1,68.3
3,Cuadritos de avena con salvad,0.3,taza,19,19,71,2.9,1,13.8,2.2,34.7,10.3,5.4,,,3.1,68.3
3,"Elote amarillo desgranado
cocido",0.5,taza,83,83,66,2.3,0.4,16.2,2,38.5,3.3,0.3,,,2.6,4.2
3,Bollo de hamburguesa,0.3,pieza,25,25,65,2.4,1.1,12.5,0.6,0,25.7,0.7,,,1.8,108.2
