r_tipo,alimentos,cantidad_sugerida,unidad,peso_bruto,peso_neto,energia,proteina,lipidos,hco,fibra,acido_folico,calcio,hierro,sodio,azucar,iice_glicemico,carga_glicemica
4,Tamal de frijol,0.2,pieza,40,40,103,1.5,7.2,9.1,0.4,0,24.6,0,112.9,,,
4,Tamal de queso con rajas,0.2,pieza,40,40,104,2,7.1,9.1,0.4,0,41.3,0,130.3,,,
4,Tamal rojo,0.16,pieza,34,34,103,0.9,6.5,11,0.2,0,,0,,,,
4,Tamal verde,0.16,pieza,34,34,103,0.9,6.5,11,0.2,0,,0,,,,
4,Tostada,1.5,pieza,18,18,93,1.2,4.9,11.2,1.2,0,19.3,0.2,131.6,,,
4,Tostada rayada,1.5,pieza,18,18,93,1.2,4.9,11.2,1.2,0,19.3,0.2,131.6,,,
4,Tostada tipo jalisco,1.5,pieza,18,18,93,1.2,4.9,11.2,1.2,0,19.3,0.2,131.6,,,
4,Barra de granola,0.75,pieza,21,21,101,2.2,4.2,13.7,1.1,5.3,12.8,0.6,62.3,,,
4,Barrita de granola con choco chip,1,pieza,28,28,119,2.1,4.7,19.6,1.4,6,26,0.7,77,,,
4,Barrita de granola con pasitas y nuez,0.75,pieza,21,21,87,1.7,4.4,13.5,1.2,6.8,18,0.5,54,,,
4,"Barrita de granola cubierta
con chocolate",0.75,pieza,21,21,98,1.2,5.3,13.4,0.8,5.3,21.8,0.5,42,,,
4,Barrita de fresa,0.3,pieza,21,21,97,1.1,3.9,14.4,0.3,26.4,0,1,36.6,,50,10.6
4,Bigote de cajeta,0.3,pieza,22,22,103,2.4,5,9,0,23.1,39.6,0.4,131.5,,,
4,Bigotes de chocolate,0.3,pieza,22,22,103,2.4,5,9,0,23.1,39.6,0.4,131.5,,,
4,Bigotes miniatura de cajeta,2,pieza,26,26,119,2.8,5.8,10.5,0,26.8,45.9,0.5,152.4,,,
4,Bisquet,0.5,pieza,33,33,118,2,5.4,15.8,0.5,1.9,15.8,1.1,341.7,,,
4,Brownie casero,1,pieza,24,24,112,1.5,7,12,0,4,14,0.4,82,,,
4,Brownie comercial,0.5,pieza,28,28,114,1.4,4.6,17.9,0.6,3.5,8,0.6,87.5,,,
4,Croissant de manzana,0.75,"pieza
mediana",43,43,109,3.2,3.7,15.9,1.1,37.6,12.8,0.5,117.1,,,
4,Croutones sazonados,0.75,taza,23,23,105,2.4,4.1,14.3,1.1,9,21.4,0.6,278.4,,,
4,Cuernitos de manzana,0.75,"pieza
mediana",43,43,109,3.2,3.7,15.9,1.1,37.6,12.8,0.5,117.1,,,
4,"Dona glaseada de
chocolate",0.3,pieza,21,21,102,1,6.6,10.3,0.4,3.5,7.5,0.5,91.8,,,
4,"Dona glaseada sabor
chocolate",0.3,pieza,21,21,102,1,6.6,10.3,0.4,3.5,7.5,0.5,91.8,,,
4,"Galletas cubierta de
chocolate",1.5,pieza,21,21,103,1.2,5,14.2,0.7,2.3,12,0.8,61.5,,,
4,Galleta de avena,1,pieza,18,18,81,1.1,3.3,12.4,0.5,1,7,0.5,69,,,
4,"Galleta de crema de
cacahuate",1.5,pieza,23,23,108,2.1,5.3,13.2,0.5,7.5,7.5,0.6,93,,,
4,"Galleta de malvavisco con
chocolate",2,pieza,26,26,110,1,4.4,17.6,0.6,2,12,0.7,44,,,
